pid,an,name,_date,caption,translation,student,keywords,manifest,thumbnail,full
011,6,Plate 11,1797,"Cocarde en feuilles sur un Chapeau à l'Anglaise, Schall uni, Robe froncée à la Coblentz",Cockade in leaves on an English-style hat. Solid shawl. Coblentz-style gathered dress.,Avery Schroeder,"cocarde, feuilles, coblenz",/img/derivatives/iiif/011/manifest.json,"/img/derivatives/iiif/images/011/full/250,/0/default.jpg","/img/derivatives/iiif/images/011/full/1140,/0/default.jpg"
012,6,Plate 12,1797,Bonnet à la jardinière orné de Rubans et d'une branche de Lilas. Ceinture à la victime étroit falbalas.,"Garden-style bonnet, decorated with ribbons and with a lilac branch. Victim-style belt, narrow frill.",Meghan Collins,"bonnet, jardinère, rubans, ceinture",/img/derivatives/iiif/012/manifest.json,"/img/derivatives/iiif/images/012/full/250,/0/default.jpg","/img/derivatives/iiif/images/012/full/1140,/0/default.jpg"
013,6,Plate 13,1797,Bonnet rond à très-petit fond fixé avec un velours noir. Robe de peckini rayé fichu- schall.,"Round bonnet, with a very small crown, attached with black velvet. Dress in striped Peckini. Kerchief-shawl.",Meghan Collins,"bonnet, robe de peckini, fichu",/img/derivatives/iiif/013/manifest.json,"/img/derivatives/iiif/images/013/full/250,/0/default.jpg","/img/derivatives/iiif/images/013/full/1140,/0/default.jpg"
014,6,Plate 14,1797,"Fichu rose sur le fond d'un Bonnet à la folle, perruque Blonde, négligée, Schall uni, Epingle en étoile","Pink kerchief on the back of a crazy-style bonnet. Blonde wig, casual. Solid shawl. Star shaped pin.",Avery Schroeder,"fond, folle, négligée",/img/derivatives/iiif/014/manifest.json,"/img/derivatives/iiif/images/014/full/250,/0/default.jpg","/img/derivatives/iiif/images/014/full/1140,/0/default.jpg"
015,6,Plate 15,1797,"Chapeau-casque  en paille garni d'une Bourdaloue en Velours perruque à crochets, long mantelet sur une Robe à taille courte boucles en Paillettes. ","Helmet-hat in straw, decorated with a velvet hatband. Wig with ringlets. Long mantle over a short-waisted dress. Buckles with spangles.",Meghan Collins,"chapeau-casque, mantelet",/img/derivatives/iiif/015/manifest.json,"/img/derivatives/iiif/images/015/full/250,/0/default.jpg","/img/derivatives/iiif/images/015/full/1140,/0/default.jpg"
016,6,Plate 16,1797,"Faces natées. Gilet à larges Rayures, Boutons d'acier en Lasange. culotte à l'Anglaise. Boucles d'Argent.",Side braids. Vest with wide stripes. Steel losange-shaped buttons. English-style breeches. Silver buckles.,Brontë Hebdon,"gilet, culotte, boutons",/img/derivatives/iiif/016/manifest.json,"/img/derivatives/iiif/images/016/full/250,/0/default.jpg","/img/derivatives/iiif/images/016/full/1140,/0/default.jpg"
017,6,Plate 17,1798,"Chapeau en Bateau. Cheveux à demi Rasés. Redingotte à Taille longue, boutons octogones, jarretière en cuir facée aux Bottines.",Hat with raised brim. Half-shaved hair. Long-waisted overcoat. Octagonal buttons. Garters in leather attached to low boots.,Brontë Hebdon,"chapeau en bateau, à demi rasés",/img/derivatives/iiif/017/manifest.json,"/img/derivatives/iiif/images/017/full/250,/0/default.jpg","/img/derivatives/iiif/images/017/full/1140,/0/default.jpg"
018,6,Plate 18,1797,Bonnet négligeé à Tuyaux. Redingotte en soie bordée d'une très-large Bande de velours.,"Casual bonnet with piping. Overcoat in silk, edged with a very wide band on velvet.",Meghan Collins,"bonnet, nègligè, redingotte",/img/derivatives/iiif/018/manifest.json,"/img/derivatives/iiif/images/018/full/250,/0/default.jpg","/img/derivatives/iiif/images/018/full/1140,/0/default.jpg"
019,6,Plate 19,1798,"Chapeau de Velours bordé en Jais blanc. Robe ouverte, garnie d'une Gance en Chenille entrelacée.","Hat in velvet edged in white jet. Open dress, decorated with interlaced cord in chenille.",Zoë Dostal,"chapeau, jiais blanc, robe",/img/derivatives/iiif/019/manifest.json,"/img/derivatives/iiif/images/019/full/250,/0/default.jpg","/img/derivatives/iiif/images/019/full/1140,/0/default.jpg"
020,6,Plate 20,1798,Fichu de gaze sur un fond de Velours Cerise Chemise à la Prêtesse Manches en Tricot de Soie.,Gauze kerchief on a cherry-red velvet base. Priestess-style chemise. Sleeves in silk knit.,Meghan Collins,"fichu, gaze, gauze",/img/derivatives/iiif/020/manifest.json,"/img/derivatives/iiif/images/020/full/250,/0/default.jpg","/img/derivatives/iiif/images/020/full/1140,/0/default.jpg"
021,6,Plate 21,4 février 1798,"Capote en satin, ornée de Trèfles et de deux Plumes. Guirlande découpée sur le coté. Velours croisé, formant Ceinture.","Satin cap, decorated with clovers and two feathers. Cut garland on the edge. Criss-crossed velvet shape the waist (belt?).",Emily Cormack,"satin, trèfles, plume, velours",/img/derivatives/iiif/021/manifest.json,"/img/derivatives/iiif/images/021/full/250,/0/default.jpg","/img/derivatives/iiif/images/021/full/1140,/0/default.jpg"
022,6,Plate 22,1798,Turban à la Gulnare. Corset et jupon à la Lisbeth.,Gulnare-style turban. Lisbeth-style corset and petticoa,Meghan Collins,"turban, gulnare, jupon, corset, petticoat",/img/derivatives/iiif/022/manifest.json,"/img/derivatives/iiif/images/022/full/250,/0/default.jpg","/img/derivatives/iiif/images/022/full/1140,/0/default.jpg"
023,6,Plate 23,1798,Capote de satin bordée en tule. Schall noué par derrière corsage lacé agrémens en Soie et en Perles au bas de la Robe.,"Satin hood, edged in tulle. Shawl knotted behind. Laced bodice. Silk and Pearl ornaments on the bottom of the dress.",Meghan Collins,"satin, capote, hood",/img/derivatives/iiif/023/manifest.json,"/img/derivatives/iiif/images/023/full/250,/0/default.jpg","/img/derivatives/iiif/images/023/full/1140,/0/default.jpg"
024,6,Plate 24,25 février 1798,"Chignon en poire, double Bandeau de Jais blanc. Schall de Laine, à Franges.","Pear-shaped bun. Double headband in white jet. Wool shawl, with fringes",Emily Cormack,"bandeau, jais, franges",/img/derivatives/iiif/024/manifest.json,"/img/derivatives/iiif/images/024/full/250,/0/default.jpg","/img/derivatives/iiif/images/024/full/1140,/0/default.jpg"
025,6,Plate 25,1798,Chevelure en porc-epic. Schall à Mouches. Rubans en Cothurnes. Des d'ap ilat sur le Boulevart des Capucines.,Porcupine hair. Spotted shawl. High-laced shoes. Drawn after nature on the Boulevard des Capucines.,Meghan Collins,"chevelure, porc-épic, schall, rubans, cothurne",/img/derivatives/iiif/025/manifest.json,"/img/derivatives/iiif/images/025/full/250,/0/default.jpg","/img/derivatives/iiif/images/025/full/1140,/0/default.jpg"
026,6,Plate 26,1798,"Triple Chaine d’Or à Maillons plats, servant de bandeau. Schall de Linon, bordé d’un Ruban appliqué.","Triple gold chain with flat links, acting as a headband. Lawn shawl, bound with an applied ribbon.",Emily Berger,"bandeau, linon, schall",/img/derivatives/iiif/026/manifest.json,"/img/derivatives/iiif/images/026/full/250,/0/default.jpg","/img/derivatives/iiif/images/026/full/1140,/0/default.jpg"
027,6,Plate 27,1798,"Guirlande de Mousse mêlée de fleurs. Manches courtes, gonflées sur l’Avant-bras. Ceinture, formée d’un Ruban rayé, à carreaux.","Moss garland mixed with flowers. Short sleeves, puffed on the forearm. Belt, made with a striped ribbon, with checks.",Emily Berger,"guirlande, fleur, manches, ceinture, rubans",/img/derivatives/iiif/027/manifest.json,"/img/derivatives/iiif/images/027/full/250,/0/default.jpg","/img/derivatives/iiif/images/027/full/1140,/0/default.jpg"
028,6,Plate 28,1798,"Cornette de Linon-gaze, garnie en comète. Tunique à Manches courtes, ceinture terminée en Tortillons.","Lawn-gauze cornett, decorated comet-style. Tunic with short sleeves, belt ending in twists.",Emily Berger,"cornette, linon, gaze, gauze, comète, ceinture",/img/derivatives/iiif/028/manifest.json,"/img/derivatives/iiif/images/028/full/250,/0/default.jpg","/img/derivatives/iiif/images/028/full/1140,/0/default.jpg"
029,6,Plate 29,1798,"Turban à pointe, orné d’une Aigrette et d’une guirlande de Myrthe. Spencer sans Manches.","Peaked turban, ornamented with an egret feather and a myrtle garland. Sleeveless spencer.",Emily Berger,"turban, aigrette, guirlande, spencer",/img/derivatives/iiif/029/manifest.json,"/img/derivatives/iiif/images/029/full/250,/0/default.jpg","/img/derivatives/iiif/images/029/full/1140,/0/default.jpg"
030,6,Plate 30,1798,"Fichu- Turban semé de Paillettes, posé de coté. Manches froncées, à double Coulisse. Ceinture de Velours Noir.","Handkerchief – turban with scattered spangles, placed on the side. Gathered sleeves, with double drawstring.",Emily Berger,"fichu, turban, paillettes, manches",/img/derivatives/iiif/030/manifest.json,"/img/derivatives/iiif/images/030/full/250,/0/default.jpg","/img/derivatives/iiif/images/030/full/1140,/0/default.jpg"
031,6,Plate 31,1798,"Chapeau blanc à la Lisbeth sur un Toquet Cerise, bordé en Crêpe noir. Croix à la Jeannette. (Dess. à Longchamp)","White Lisbeth-style hat on a cherry-red cap, edged in black crepe. Jeannette-style cross. (Drawn at Longchamp)",Emily Berger,"lisbeth, toquet, cerise",/img/derivatives/iiif/031/manifest.json,"/img/derivatives/iiif/images/031/full/250,/0/default.jpg","/img/derivatives/iiif/images/031/full/1140,/0/default.jpg"
032,6,Plate 32,1798,Elégante en Costume de Bal les Cheveux relevés à la Grecque; à l'instant du repos après le Tournoiement d'une Valse.,,Jewel Britton,"bal, grecque",/img/derivatives/iiif/032/manifest.json,"/img/derivatives/iiif/images/032/full/250,/0/default.jpg","/img/derivatives/iiif/images/032/full/1140,/0/default.jpg"
033,6,Plate 33,1798,"Grisette en négligé du Matin, faisant sa provision au Marché des quinze-vingts. (Dess. d’ap. nat. le 28. Germinal)","Shop-girl in casual morning gown, getting supplies at the Marché des quinze-vingts (Drawn after nature, on the 28th of Germinal)",Emily Berger,"négligé, matin",/img/derivatives/iiif/033/manifest.json,"/img/derivatives/iiif/images/033/full/250,/0/default.jpg","/img/derivatives/iiif/images/033/full/1140,/0/default.jpg"
034,6,Plate 34,1798,"Chapeau à la Primerose. Manches lassées. Tablier Sans Poches, de Taffetas Quadrillé.
","Primrose hat. Laced sleeves. Apron without pockets, in tiled sarcenet.",Emily Berger,"manches, tablier",/img/derivatives/iiif/034/manifest.json,"/img/derivatives/iiif/images/034/full/250,/0/default.jpg","/img/derivatives/iiif/images/034/full/1140,/0/default.jpg"
035,6,Plate 35,1798,St. Aubin dans Primerose. Costume d’une Villageoise Provençale.,S. Aubin in the role of Primerose. Provincial village costume.,Emily Berger,"villageoise, provençale",/img/derivatives/iiif/035/manifest.json,"/img/derivatives/iiif/images/035/full/250,/0/default.jpg","/img/derivatives/iiif/images/035/full/1140,/0/default.jpg"
036,6,Plate 36,1798,"Turban en Spirale, garni de perles de Jais, fichu de Gaze, Brodé en Velours et en Paillettes.","Spiral turban, decorated with jet beads, gauze handkerchief, trimmed with velvet and spangles.",Emily Berger,"ruban, spirale, perles, fais, fichu, gaze, gauze, paillettes",/img/derivatives/iiif/036/manifest.json,"/img/derivatives/iiif/images/036/full/250,/0/default.jpg","/img/derivatives/iiif/images/036/full/1140,/0/default.jpg"
037,6,Plate 37,1798,"Coiffure négligée en fichu. Robe échancrée sur le dos, Croisures à la Victime.","Casual hairstyle in a handkerchief. Dress open-pointed in the back, victim-style crossed ribbons.",Emily Berger,"coiffure, fichu, robe",/img/derivatives/iiif/037/manifest.json,"/img/derivatives/iiif/images/037/full/250,/0/default.jpg","/img/derivatives/iiif/images/037/full/1140,/0/default.jpg"
038,6,Plate 38,25 mai 1798,"Cheveux à la Titus, petit fichu quadrille mantelet gaze, garni en dentelle. Dessiné sur le Blvd de la Magdeleine.","Titus-style hair. Small checked kerchief. Gauze mantle, decorated with lace.",Sarah Bigler,cheveux à la titus,/img/derivatives/iiif/038/manifest.json,"/img/derivatives/iiif/images/038/full/250,/0/default.jpg","/img/derivatives/iiif/images/038/full/1140,/0/default.jpg"
039,6,Plate 39,25 mai 1798,"Chignon relevé avec un Réseau, rosettes sur le dos de la robe. Dessiné au Jardin d’Idalie.",Raised bun with a net. Bows on the back of the dress.20 Floréal. Dessiné au Jardin d’Idalie.,Sarah Bigler,"réseau, chignon, rosette",/img/derivatives/iiif/039/manifest.json,"/img/derivatives/iiif/images/039/full/250,/0/default.jpg","/img/derivatives/iiif/images/039/full/1140,/0/default.jpg"
040,6,Plate 40,2 juin 1798,Jeune élégante Revenant de la Promenade en Négligé du Matin (Dessiné Rue Vivienne),,Emily Cormack,"négligé, rue vivienne",/img/derivatives/iiif/040/manifest.json,"/img/derivatives/iiif/images/040/full/250,/0/default.jpg","/img/derivatives/iiif/images/040/full/1140,/0/default.jpg"
041,6,Plate 41,2 juin 1798,"Cornette à la paysanne, ornée de fleurs, Robe lacée. Tivoli.","Bonnet with a gathered crown, ornamented with flowers, laced dress.",Sarah Bigler,"cornette, paysanne",/img/derivatives/iiif/041/manifest.json,"/img/derivatives/iiif/images/041/full/250,/0/default.jpg","/img/derivatives/iiif/images/041/full/1140,/0/default.jpg"
042,6,Plate 42,8 juin 1798,"Chapeau de paille blanc garni de son fichu et lassé sur le côté, Schall de soie en tulle. Dessiné aux Champs-Élysée",White straw hat decorated with her scarf and tied on the side. Shawl made of silk and tulle. Drawn on the Champs-Élysée,Sarah Bigler,"paille, chapeau, fichu",/img/derivatives/iiif/042/manifest.json,"/img/derivatives/iiif/images/042/full/250,/0/default.jpg","/img/derivatives/iiif/images/042/full/1140,/0/default.jpg"
043,6,Plate 43,14 juin 1798,"Chapeau plissé et lassé. Médaillon en ecusson, garniture di robe en comète. Dessiné au Jardin d'Idalie/Italie","Hat pleated and tied. Medallion with badge/insignia,....Drawn in the Jardin d'Idalie/Italie",Sarah Bigler,"chapeau, ecusson, médaillon, Italie",/img/derivatives/iiif/043/manifest.json,"/img/derivatives/iiif/images/043/full/250,/0/default.jpg","/img/derivatives/iiif/images/043/full/1140,/0/default.jpg"
044,6,Plate 44,18 juin 1798,"Fichu bore à pointes saillantes, pose de côté, sur un chapeau de paille blanche. Manches longue sans doublure. Dessiné sur le Boulevard Montmartre. ","Scarf with pointed ends, tied on one side of a white straw hat. Long sleeves without lining. Drawn on the Boulevard Montmartre. ",Sarah Bigler,"doublure, paille, fichu",/img/derivatives/iiif/044/manifest.json,"/img/derivatives/iiif/images/044/full/250,/0/default.jpg","/img/derivatives/iiif/images/044/full/1140,/0/default.jpg"
045,6,Plate 45,23 juin 1798,"Chapeau à la minerve, robe zébrée. Tivoli 24 Prairial",Minerva-style hat. Striped dress. Tivoli 24 Prairial. ,Sarah Bigler,"zébrée, minerve",/img/derivatives/iiif/045/manifest.json,"/img/derivatives/iiif/images/045/full/250,/0/default.jpg","/img/derivatives/iiif/images/045/full/1140,/0/default.jpg"
046,6,Plate 46,28 juin 1798,"Manches courtes relevée avec des glans sur les manches de satin, rosette sur le devant de la robe. Sac à ouvrage. Tivoli 30 Prairial",Short sleeves held up with tassels on the satin sleeves.Rosette on the front of the dress. Needle-work bag. Tivoli 30 Prairial,Sarah Bigler,sac à ouvrage,/img/derivatives/iiif/046/manifest.json,"/img/derivatives/iiif/images/046/full/250,/0/default.jpg","/img/derivatives/iiif/images/046/full/1140,/0/default.jpg"
047,6,Plate 47,3 Julliet 1798,"Voile à l'Iphigenie, mantelet blanc. sac à devise. Champs-Élysée","Iphigenia veil, white mantle, rebus bag . Champs-Élysées",Sarah Bigler,"sac à devise, Iphigenie",/img/derivatives/iiif/047/manifest.json,"/img/derivatives/iiif/images/047/full/250,/0/default.jpg","/img/derivatives/iiif/images/047/full/1140,/0/default.jpg"
048,6,Plate 48,11 ou 14 juillet 1798,"Chapeau coquet, manche couleur sous une robe blanche. fauteuil en acajou, imité du l'antique",Trendy hat. colored sleeves under a white dress. Mahogany chair imitating an antique style.,Sarah Bigler,"acajou, chapeau",/img/derivatives/iiif/048/manifest.json,"/img/derivatives/iiif/images/048/full/250,/0/default.jpg","/img/derivatives/iiif/images/048/full/1140,/0/default.jpg"
049,6,Plate 49,13 Juillet,"Chapeau à fond ouvert et boutonné. Lassures croisées, cheveux naissons, schall en travers. Tivoli",Hat with open and buttoned crown. Crossed laces. New hair. Shawl worn sideways.,Sarah Bigler,"chapeau, boutonnés",/img/derivatives/iiif/049/manifest.json,"/img/derivatives/iiif/images/049/full/250,/0/default.jpg","/img/derivatives/iiif/images/049/full/1140,/0/default.jpg"
050,6,Plate 50,18 Julliet 1798,Clotilde dans le Ballet de Paris (Théâtre de l'Opéra),Clotilde at the Parisian Ballet. Théâtre de l'Opéra,Sarah Bigler,"ballet, théatre, opéra",/img/derivatives/iiif/050/manifest.json,"/img/derivatives/iiif/images/050/full/250,/0/default.jpg","/img/derivatives/iiif/images/050/full/1140,/0/default.jpg"
051,6,Plate 51,23 Juillet 1798,"Capote en crêpe noir, garni de trois nattes, doliman de couleur. Parc Mousseaux.","Hat with stiff brim and soft crown made of black crepe, trimmed with three braided ribbons, Colorful Turkish costume. Parc Mousseaux.",Sarah Bigler,"capote, doliman",/img/derivatives/iiif/051/manifest.json,"/img/derivatives/iiif/images/051/full/250,/0/default.jpg","/img/derivatives/iiif/images/051/full/1140,/0/default.jpg"
052,6,Plate 52,28 Juillet 1798,Capote en crêpe jaune garnie en noir. Sac falbalassé. Champs-Élyseée.,"Yellow Hat with stiff brim and soft crown, embellished with black.Ruffled bag. Champs-Élyseée",Sarah Bigler,"capote, sac, fallbalassé",/img/derivatives/iiif/052/manifest.json,"/img/derivatives/iiif/images/052/full/250,/0/default.jpg","/img/derivatives/iiif/images/052/full/1140,/0/default.jpg"
053,6,Plate 53,2 aout 1798,Chapeau garni de deux fichu. Rosettes symétriques.,"Hat adorned with two scarves, tied in two symmetrical bows.",Sarah Bigler,"fichu, rosette",/img/derivatives/iiif/053/manifest.json,"/img/derivatives/iiif/images/053/full/250,/0/default.jpg","/img/derivatives/iiif/images/053/full/1140,/0/default.jpg"
054,6,Plate 54,7 aout 1798,Chapeau orné d'une Guirlande en coques. Voile blanc. Collier-en-Cheveux. Chemise noir. Tivoli.,"Hat ornamented with a garland of shells. White veil, hair necklace, black dress. Tivoli.",Sarah Bigler,collier-en-cheveux,/img/derivatives/iiif/054/manifest.json,"/img/derivatives/iiif/images/054/full/250,/0/default.jpg","/img/derivatives/iiif/images/054/full/1140,/0/default.jpg"
055,6,Plate 55,,Belmont dans Belle et Bonne (Théâtre du Vaudeville),Mme. Belmont in Belle et Bonne (The Two Sisters) at Théâtre du Vaudeville on 25 November 1797.,Sarah Bigler,"bonnet, théâtre",/img/derivatives/iiif/055/manifest.json,"/img/derivatives/iiif/images/055/full/250,/0/default.jpg","/img/derivatives/iiif/images/055/full/1140,/0/default.jpg"
056,6,Plate 56,1797,"Cheveux à la Caracalla, Sac à ouvrage, appellé Balantine, Sandales","Caracalla-style hair. Needle-work bag, named Balantine. Sandals.",Avery Schroeder,"sac à ouvrage, balantine",/img/derivatives/iiif/056/manifest.json,"/img/derivatives/iiif/images/056/full/250,/0/default.jpg","/img/derivatives/iiif/images/056/full/1140,/0/default.jpg"
057,6,Plate 57,22 aout 1798,"Cheveux à la Titus, echarpe agrafée sur l'épaule. Manteau sur le bras, gants froncés. Tivoli.","Hair à la Titus, scarf fastened at the shoulder, Mantle draped over arm, gathered gloves. Tivoli.",Sarah Bigler,cheveux à la titus,/img/derivatives/iiif/057/manifest.json,"/img/derivatives/iiif/images/057/full/250,/0/default.jpg","/img/derivatives/iiif/images/057/full/1140,/0/default.jpg"
058,6,Plate 58,,"Capote Nattée, garnie dun Papillon. Manches lacées. Schall en Echarpe.","Braided hood, decorated with a butterfly. Laced sleeves. Shawl worn as a scarf.",Ana Karen Aguero,"mattée, garnie, lacées, echarpe",/img/derivatives/iiif/058/manifest.json,"/img/derivatives/iiif/images/058/full/250,/0/default.jpg","/img/derivatives/iiif/images/058/full/1140,/0/default.jpg"
059,6,Plate 59,,Négligé garni de deux Nattes. Fichu à pointe peu Saillante.,Casual dress decorated with two braids. Kerchief with barely protruding corners. Elysée.,Ana Karen Aguero,"négligé, nattes",/img/derivatives/iiif/059/manifest.json,"/img/derivatives/iiif/images/059/full/250,/0/default.jpg","/img/derivatives/iiif/images/059/full/1140,/0/default.jpg"
060,6,Plate 60,,Coeffure en Fichu. Tour de Cheveux postiche. Falblas Sous la Robe.,Kerchief hairstyle. Artificial hair band. Ruffles under the dress. Tivoli,Ana Karen Aguero,"fichu, falbas",/img/derivatives/iiif/060/manifest.json,"/img/derivatives/iiif/images/060/full/250,/0/default.jpg","/img/derivatives/iiif/images/060/full/1140,/0/default.jpg"
061,6,Plate 61,,Négligé à fond de Couleur. Bride en dessus. Rose sur le côté. Chemise sans Manches. Schall à franges. Lunette à deux Branches.,Casual dress over a colored under-dress. Strap over it. Rose on the side. Sleeveless chemise. Fringed shawl. Eye-glass with two branches. Frascati,Ana Karen Aguero,négligé,/img/derivatives/iiif/061/manifest.json,"/img/derivatives/iiif/images/061/full/250,/0/default.jpg","/img/derivatives/iiif/images/061/full/1140,/0/default.jpg"
062,6,Plate 62,,"Cheveux à la Titus. Tunique Courte, garnie d´Agrémens en Chenille.","Titus-style hair. Short tunic, decorated with chenille ornaments. Tivoli.",Ana Karen Aguero,d´agémens in caterpillar,/img/derivatives/iiif/062/manifest.json,"/img/derivatives/iiif/images/062/full/250,/0/default.jpg","/img/derivatives/iiif/images/062/full/1140,/0/default.jpg"
063,6,Plate 63,,"Capote en Crêpe, garnie d´une Bande Plissée, de Couleur Franchante, Fuirlande à plis crevés. Schall presque quarré.","Crape hood, decorated with a pleated band, in a contrasting color. Almost square shawl. Tivoli.",Ana Karen Aguero,"tranchante, crevés",/img/derivatives/iiif/063/manifest.json,"/img/derivatives/iiif/images/063/full/250,/0/default.jpg","/img/derivatives/iiif/images/063/full/1140,/0/default.jpg"
064,7,Plate 64,,"Chapeau rond, à forme haute et plissée. Robe lacée en Losange, sur le orsage, sur les deux Manches, sur le bord infeérieur et sur les côtés.","Round hat, with a high and pleated crown. Dress laced with losanges, on the bodice, on the two sleeves and on the sides. Tivoli.",Ana Karen Aguero,orsage,/img/derivatives/iiif/064/manifest.json,"/img/derivatives/iiif/images/064/full/250,/0/default.jpg","/img/derivatives/iiif/images/064/full/1140,/0/default.jpg"
065,7,Plate 65,,"Capote à haute forme, Taillée en pointes sur les côtés. Chaine d´or à large Mailles, formant Ceínture.","Hood with a high crown, cut in corners on the sides. Gold chain with large links, forming a belt. Tivoli.",Ana Karen Aguero,"taillée, côtés",/img/derivatives/iiif/065/manifest.json,"/img/derivatives/iiif/images/065/full/250,/0/default.jpg","/img/derivatives/iiif/images/065/full/1140,/0/default.jpg"
066,7,Plate 66,,"Turban de forme Ovale, divisé par Bandes et orné d´un esprit. Fichu de Crêpe Noir.","Turban in an oval shape, divided by bands and decorated with a stiff plume. Kerchief in black crape.",Ana Karen Aguero,"esprit, crêpe",/img/derivatives/iiif/066/manifest.json,"/img/derivatives/iiif/images/066/full/250,/0/default.jpg","/img/derivatives/iiif/images/066/full/1140,/0/default.jpg"
067,7,Plate 67,,Cheveux Courts sous un Chignon tressé. Tunique plissée.Doliman à la Sauvage.,"Short hair under a braided bun. Pleated tunic. Wild-style caftan coat, Tivoli.",Ana Karen Aguero,"chignon, tressé, plissée, doliman",/img/derivatives/iiif/067/manifest.json,"/img/derivatives/iiif/images/067/full/250,/0/default.jpg","/img/derivatives/iiif/images/067/full/1140,/0/default.jpg"
068,7,Plate 68,,"Cornette en forme de Casque, garnie de Rubans Nuancés. Broderies etrusques. ","Cornett in the shape of a helmet, decorated with nuanced ribbons. Jardin D’idalie.",Ana Karen Aguero,nuancés,/img/derivatives/iiif/068/manifest.json,"/img/derivatives/iiif/images/068/full/250,/0/default.jpg","/img/derivatives/iiif/images/068/full/1140,/0/default.jpg"
